date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24090,24077,13,24088,2,0,24077,13
2020-12-28,17996,17834,162,42084,2,0,41911,175
2020-12-29,50017,49283,734,92100,2,1,91194,909
2020-12-30,63494,63356,138,155594,2,1,154550,1047
2020-12-31,49690,49601,89,205284,2,1,204151,1136
2021-01-01,25354,25345,9,230630,7,4,229496,1145
2021-01-02,47949,47663,286,278579,7,4,277159,1431
2021-01-03,22413,22408,5,300991,8,4,299567,1436
2021-01-04,45826,45730,96,346816,9,4,345297,1532
2021-01-05,51967,51630,337,398782,10,4,396927,1869
2021-01-06,62457,62364,93,461230,16,7,459291,1962
2021-01-07,53962,53941,21,515187,19,9,513232,1983
2021-01-08,61746,61638,108,576881,70,10,574870,2091
2021-01-09,59968,59820,148,636845,73,11,634690,2239
2021-01-10,35253,35104,149,672090,81,11,669794,2388
2021-01-11,67494,67392,102,739569,94,13,737186,2490
2021-01-12,78443,78379,64,817996,109,14,815565,2554
2021-01-13,111060,110859,201,927888,1277,14,926424,2755
2021-01-14,83430,83208,222,1006169,6426,14,1009632,2977
2021-01-15,90745,89899,846,1091643,11692,19,1099531,3823
2021-01-16,57356,56335,1021,1147319,13371,20,1155866,4844
2021-01-17,47620,29832,17788,1193676,14632,21,1185699,22632
2021-01-18,82015,66172,15843,1271547,18775,22,1251871,38475
2021-01-19,118801,82359,36442,1386672,22442,31,1334230,74917
2021-01-20,132397,77818,54579,1516324,25184,34,1412048,129496
2021-01-21,104983,63672,41311,1618566,27924,35,1475720,170807
2021-01-22,101618,68049,33569,1717990,30110,43,1543769,204376
2021-01-23,86669,40468,46201,1804302,30464,46,1584237,250577
2021-01-24,47298,25465,21833,1851398,30662,50,1609702,272410
2021-01-25,91040,52277,38763,1941019,32078,53,1661979,311173
2021-01-26,97533,50633,46900,2037111,33512,60,1712612,358073
2021-01-27,109350,50821,58529,2144666,35298,68,1763434,416602
2021-01-28,92447,46574,45873,2235482,36926,71,1810008,462475
2021-01-29,107761,49987,57774,2341756,38406,78,1859995,520249
2021-01-30,88003,34361,53642,2428877,39286,80,1894356,573891
2021-01-31,56864,25752,31112,2485360,39662,85,1920108,605003
2021-02-01,119523,57963,61560,2602624,41870,136,1978071,666563
2021-02-02,132173,64964,67209,2731722,44932,149,2043035,733772
2021-02-03,161931,64084,97847,2887298,51260,175,2107120,831619
2021-02-04,133879,61730,72149,3015340,57092,180,2168850,903768
